step,t,noise_active,noise_std_pos,noise_std_vel,dropout_active,dropout_mode,path_active,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,action_0,action_1,action_2,action_3,U1,rates_des_x,rates_des_y,rates_des_z,reward,done
10,0.05499999999999999,0,0.05,0.05,0,NONE,0,4.19215635663679e-06,0.00017964313218603428,0.010575735452934715,0.00024808522866946617,0.0005952057994460362,0.04978924883667181,4.19215635663679e-06,0.00017964313218603428,0.010575735452934715,0.00024808522866946617,0.0005952057994460362,0.04978924883667181,0.00100294472587546,0.0002982296231550685,-1.974473984235337e-06,-0.04380192207403888,0.018014647890203815,-8.515268032079913e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.7633956,0.0003670601,-0.0052102143,7.577832e-06,0.3310878026461471,0.00038438443880648706,-0.005456123751793743,7.935487296996523e-06,-0.14898059509360054,0
11,0.05999999999999999,0,0.05,0.05,0,NONE,0,7.2550250925923055e-06,0.00018434357194083736,0.011019515557080783,0.00029037695390460766,0.0004411318887638558,0.04272753236117556,7.2550250925923055e-06,0.00018434357194083736,0.011019515557080783,0.00029037695390460766,0.0004411318887638558,0.04272753236117556,0.0006586250165703111,0.0005157958876973735,-3.8683895295044095e-06,-0.03213963384361809,0.020126786114465153,-0.00030431385611730293,0.0,0.0,0.16,0.0,0.0,0.0,0.779721,0.0012278012,-0.0073899957,1.4821292e-05,0.33288150860078203,0.001285750401300108,-0.007738785574847342,1.5520820451896574e-05,-0.14860210931607123,0
12,0.06499999999999999,0,0.05,0.05,0,NONE,0,6.886415176690463e-06,0.00018669102999340113,0.011398004538611681,-0.00010736090364358887,0.00017628087614999404,0.03626858272290007,6.886415176690463e-06,0.00018669102999340113,0.011398004538611681,-0.00010736090364358887,0.00017628087614999404,0.03626858272290007,0.0004884652341983309,0.0004789746182432917,-5.58277477890731e-06,-0.012919122200431931,-0.008131677607802805,-5.829427134728525e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.79487646,-0.0005517381,-0.0024619277,2.1383088e-05,0.33454666453063375,-0.000577778761721968,-0.002578124558195569,2.2392318386455447e-05,-0.1482788022817987,0
13,0.06999999999999999,0,0.05,0.05,0,NONE,0,5.525287695547033e-06,0.00018821225238990666,0.011721313695070132,-0.00016060983326723438,0.000177012338325251,0.03125450684637489,5.525287695547033e-06,0.00018821225238990666,0.011721313695070132,-0.00016060983326723438,0.000177012338325251,0.03125450684637489,0.0003681915960731527,0.00028021053361332196,9.844878454925873e-06,-0.014656560992774828,-0.031507245193550464,0.0031024960429153602,0.0,0.0,0.16,0.0,0.0,0.0,0.8068142,0.00038539828,-0.000313233,-3.756971e-05,0.33585828871711054,0.00040358813658206356,-0.0003280168353177666,-3.93429067450146e-05,-0.14797203795925487,0
14,0.075,0,0.05,0.05,0,NONE,0,3.955768079099465e-06,0.00019056438870913636,0.01202808122566485,-0.0001499086053637976,0.00022594302454837653,0.030960601033035242,3.955768079099465e-06,0.00019056438870913636,0.01202808122566485,-0.0001499086053637976,0.00022594302454837653,0.030960601033035242,-0.00024477032725803285,-6.362263858600979e-05,-2.2447794186143997e-05,-0.0817816052844784,-0.033790174099527746,-0.006082774767186834,0.0,0.0,0.16,0.0,0.0,0.0,0.8075711,0.0056578033,0.0021997355,8.5832806e-05,0.3359414535776337,0.005924837927841219,0.0023035576323799526,8.988390330473023e-05,-0.14762411758835065,0
15,0.08,0,0.05,0.05,0,NONE,0,2.4964551770289483e-06,0.00019280016720949242,0.012376004757046694,-0.00014751325760555293,0.0002298717163548423,0.03656620721178549,2.4964551770289483e-06,0.00019280016720949242,0.012376004757046694,-0.00014751325760555293,0.0002298717163548423,0.03656620721178549,-0.0016610237453420509,-0.0005972580806869055,-0.00015670275509868884,-0.16123553335705865,-0.054888581729725806,-0.0155667404298082,0.0,0.0,0.16,0.0,0.0,0.0,0.79409873,0.016547134,0.0062619634,0.0005990231,0.33446121513099886,0.0173281176193184,0.006557512820981849,0.0006272955038426563,-0.14717247594887922,0
16,0.085,0,0.05,0.05,0,NONE,0,6.826035668585645e-07,0.00019602138925486648,0.012827651018504497,-0.0001979759218366323,0.0003683922691983751,0.048630525180180524,6.826035668585645e-07,0.00019602138925486648,0.012827651018504497,-0.0001979759218366323,0.0003683922691983751,0.048630525180180524,-0.003631815099093248,-0.0010309283313923343,-0.00037670915376581944,-0.20746963072100985,-0.036659667242984986,-0.02452256153726493,0.0,0.0,0.16,0.0,0.0,0.0,0.76480544,0.033261202,0.010183558,0.001440285,0.331242702093961,0.03483104804398894,0.010664196847084818,0.0015082628713955933,-0.14655788681780121,0
17,0.09000000000000001,0,0.05,0.05,0,NONE,0,-2.0769488737312754e-06,0.00020223759097151158,0.013442249156159556,-0.00030568636107120115,0.0007266943839206374,0.06599313799939327,-2.0769488737312754e-06,0.00020223759097151158,0.013442249156159556,-0.00030568636107120115,0.0007266943839206374,0.06599313799939327,-0.005891136968502301,-0.0008945503824544366,-0.0006333578552521805,-0.23930708648619953,0.02116495068862033,-0.025848553245447787,0.0,0.0,0.16,0.0,0.0,0.0,0.72221005,0.054778054,0.010427683,0.0024221228,0.32656266569334913,0.057363444374914085,0.010919843457131645,0.002536441071979168,-0.14572934534625445,0
18,0.09500000000000001,0,0.05,0.05,0,NONE,0,-5.996067220274339e-06,0.00021409226979438983,0.014270808463329903,-0.00041879891998913366,0.0013640966758339652,0.08881297056819182,-5.996067220274339e-06,0.00021409226979438983,0.014270808463329903,-0.00041879891998913366,0.0013640966758339652,0.08881297056819182,-0.008294894763040172,-0.00043409419020967353,-0.0009216426531468366,-0.22962659408269465,0.0504947589357271,-0.02918121879081872,0.0,0.0,0.16,0.0,0.0,0.0,0.66572154,0.080708936,0.008270653,0.00352549,0.320356154039004,0.08451820307746188,0.008661007943952729,0.0036918843701906597,-0.14464928597423585,0
19,0.10000000000000002,0,0.05,0.05,0,NONE,0,-1.0726577198956854e-05,0.00023467874081574907,0.015350901218513027,-0.0004860542214656866,0.0023159403329124978,0.11471060964138122,-1.0726577198956854e-05,0.00023467874081574907,0.015350901218513027,-0.0004860542214656866,0.0023159403329124978,0.11471060964138122,-0.010312297501600202,0.00026903861853558834,-0.0012723037789192035,-0.19778728882233218,0.07679379399201659,-0.035449724314548216,0.0,0.0,0.16,0.0,0.0,0.0,0.6008516,0.107431866,0.003736891,0.004867954,0.3132287676398128,0.11250238464027966,0.00391326327198358,0.005097709632727425,-0.1432903205209717,0
20,0.10500000000000002,0,0.05,0.05,0,NONE,0,-1.5553374021041896e-05,0.00026691493385561994,0.01670992534580801,-0.0004734322954190307,0.00354825271073183,0.14312897430924232,-1.5553374021041896e-05,0.00026691493385561994,0.01670992534580801,-0.0004734322954190307,0.00354825271073183,0.14312897430924232,-0.011302020031558644,0.0009170964525735751,-0.0016307703775278572,-0.055356979562376514,0.06272670331958394,-0.03467049333759202,0.0,0.0,0.16,0.0,0.0,0.0,0.52881205,0.12966737,-0.0012980705,0.0062410887,0.3053136391844827,0.13578735777669274,-0.001359336301858357,0.006535652953105859,-0.14163788406830113,0
21,0.11000000000000003,0,0.05,0.05,0,NONE,0,-1.9585452504830972e-05,0.0003129295330327251,0.018362459397469277,-0.00037304267030207803,0.004959478420426379,0.17275804981637843,-1.9585452504830972e-05,0.0003129295330327251,0.018362459397469277,-0.00037304267030207803,0.004959478420426379,0.17275804981637843,-0.010361260779136253,0.0009085937783629313,-0.001927387801152342,0.1437891630325447,-0.028357713455729613,-0.0290838684884771,0.0,0.0,0.16,0.0,0.0,0.0,0.45266134,0.13933921,-0.0023370115,0.0073786853,0.2969468073376008,0.1459156856233614,-0.002447312623382354,0.00772694111710668,-0.13968155877814892,0
22,0.11500000000000003,0,0.05,0.05,0,NONE,0,-2.2323163951076015e-05,0.00037284132071925227,0.020318937028685993,-0.00024378487458730694,0.006319048333566653,0.2032481384116841,-2.2323163951076015e-05,0.00037284132071925227,0.020318937028685993,-0.00024378487458730694,0.006319048333566653,0.2032481384116841,-0.007475587388648098,-0.00011787186375188127,-0.002165360942277268,0.33572028243692176,-0.1242753389316498,-0.022544973568854057,0.0,0.0,0.16,0.0,0.0,0.0,0.37318686,0.13363418,0.0040637725,0.008292845,0.28821478578012094,0.13994138782587043,0.0042555724031314995,0.008684247083962076,-0.13742370662199585,0
23,0.12000000000000004,0,0.05,0.05,0,NONE,0,-2.445209451043073e-05,0.00044413204653566814,0.022577009661867316,-0.00021587896639564975,0.007363429501854082,0.23336952144396722,-2.445209451043073e-05,0.00044413204653566814,0.022577009661867316,-0.00021587896639564975,0.007363429501854082,0.23336952144396722,-0.0036451401534398236,-0.0022748378923718353,-0.0023456050843608843,0.3840797097226339,-0.24598132523744487,-0.019518909313844274,0.0,0.0,0.16,0.0,0.0,0.0,0.29332554,0.11708839,0.020285113,0.008986927,0.2794402632084373,0.12261467547902326,0.021242520754386603,0.009411087665007443,-0.13487175593288903,0
24,0.12500000000000003,0,0.05,0.05,0,NONE,0,-2.7969970228162442e-05,0.0005223036494419272,0.025129254730056224,-0.0004227722861535119,0.00792699192181221,0.2623386507406585,-2.7969970228162442e-05,0.0005223036494419272,0.025129254730056224,-0.0004227722861535119,0.00792699192181221,0.2623386507406585,-0.0001015491802862082,-0.005256874938636276,-0.0025671810310441264,0.342616409798565,-0.3017680730470318,-0.023257830626415548,0.0,0.0,0.16,0.0,0.0,0.0,0.2149723,0.097140834,0.045571115,0.009839413,0.27083143723718217,0.10172564676457363,0.047721960969583685,0.010303809404318022,-0.1320410357769084,0
25,0.13000000000000003,0,0.05,0.05,0,NONE,0,-3.6168346848089926e-05,0.0006025931154435716,0.027960340628855225,-0.0009832308984406418,0.008027146190364182,0.28994467986910877,-3.6168346848089926e-05,0.0006025931154435716,0.027960340628855225,-0.0009832308984406418,0.008027146190364182,0.28994467986910877,0.0028216124346461856,-0.008055464623703738,-0.0028461188205729784,0.2745684698919063,-0.2652264693042375,-0.02738728358891636,0.0,0.0,0.16,0.0,0.0,0.0,0.13869034,0.07650681,0.07362603,0.010911671,0.2624501843887837,0.08011774312009794,0.0771009941828644,0.011426675859484862,-0.12894290720972218,0
26,0.13500000000000004,0,0.05,0.05,0,NONE,0,-5.264618632183029e-05,0.0006809509122112956,0.031058898034071906,-0.0018958267973462062,0.007743979148762898,0.31639286629172936,-5.264618632183029e-05,0.0006809509122112956,0.031058898034071906,-0.0018958267973462062,0.007743979148762898,0.31639286629172936,0.004976227642424396,-0.010439739856290344,-0.0031077067755432416,0.18388685340350033,-0.2257886047810618,-0.02472480829885265,0.0,0.0,0.16,0.0,0.0,0.0,0.06403512,0.057226032,0.10268409,0.011918283,0.25424766605598015,0.059926962019128706,0.1075305234399163,0.012480796946304775,-0.12559854129329043,0
27,0.14000000000000004,0,0.05,0.05,0,NONE,0,-8.039779535053117e-05,0.0007542888174924713,0.03440374584442779,-0.003087174800238291,0.007180353866499296,0.3401413860558372,-8.039779535053117e-05,0.0007542888174924713,0.03440374584442779,-0.003087174800238291,0.007180353866499296,0.3401413860558372,0.006195792536857226,-0.012247915337874473,-0.0033679858384656446,0.10957563652875459,-0.15601832156981846,-0.025678419116987115,0.0,0.0,0.16,0.0,0.0,0.0,-0.0052345307,0.041754723,0.1306721,0.012920517,0.24663687162647296,0.043725444462413623,0.1368395056945387,0.01353033316259055,-0.12203682458926332,0
28,0.14500000000000005,0,0.05,0.05,0,NONE,0,-0.00012167346442947067,0.0008207876218196769,0.03796599272361097,-0.004488312146041168,0.006463028125134338,0.3614796975050539,-0.00012167346442947067,0.0008207876218196769,0.03796599272361097,-0.004488312146041168,0.006463028125134338,0.3614796975050539,0.006395414556873469,-0.013011481728022141,-0.003714817996591864,-0.005955845090050044,-0.04259716994498471,-0.036867708436628434,0.0,0.0,0.16,0.0,0.0,0.0,-0.069690935,0.032210086,0.15322581,0.014254186,0.2395549172952381,0.03373032284744817,0.16045769404589733,0.014926948840086909,-0.1182809992549333,0
29,0.15000000000000005,0,0.05,0.05,0,NONE,0,-0.0001777111560677973,0.0008797354389694251,0.04172240231119313,-0.005975596282100868,0.0057080412599979655,0.38006267671961874,-0.0001777111560677973,0.0008797354389694251,0.04172240231119313,-0.005975596282100868,0.0057080412599979655,0.38006267671961874,0.006056563850089088,-0.012152521130163851,-0.004153879796741969,-0.04190146414023819,0.13021960553525003,-0.047438958290234326,0.0,0.0,0.16,0.0,0.0,0.0,-0.12841761,0.026265841,0.16448863,0.015941195,0.2331024999643244,0.02750552482821912,0.1722520839518942,0.016693580740179185,-0.11437546316420903,0
30,0.15500000000000005,0,0.05,0.05,0,NONE,0,-0.0002479044493560654,0.0009315657977028725,0.04562859570406642,-0.00735051280738339,0.005014233310086561,0.3937827653159631,-0.0002479044493560654,0.0009315657977028725,0.04562859570406642,-0.00735051280738339,0.005014233310086561,0.3937827653159631,0.005921868661118406,-0.009808011237473355,-0.0046428670432575045,-0.008479522061862092,0.2563141417301375,-0.05077178849138303,0.0,0.0,0.16,0.0,0.0,0.0,-0.17621118,0.019413663,0.1631762,0.017820073,0.22785132612691952,0.020329939613523106,0.17087770506519678,0.01866113689384947,-0.11036230603601505,0
31,0.16000000000000006,0,0.05,0.05,0,NONE,0,-0.0003299093042017335,0.0009768520743483385,0.04964250681172041,-0.008456284450567064,0.004370057359459651,0.40350408208036387,-0.0003299093042017335,0.0009768520743483385,0.04964250681172041,-0.008456284450567064,0.004370057359459651,0.40350408208036387,0.005889450830109809,-0.0073732822344760186,-0.005121921532841985,0.009146032982535971,0.23687760394368493,-0.048351704708271846,0.0,0.0,0.16,0.0,0.0,0.0,-0.21495777,0.012315327,0.15809551,0.019662155,0.22359415935335852,0.012896580562227571,0.165557229898661,0.020590159656019492,-0.10628920223721984,0
32,0.16500000000000006,0,0.05,0.05,0,NONE,0,-0.0004206378116576257,0.001015994468281101,0.05371648250318684,-0.009254287301722322,0.0037643199712935217,0.4082210578942363,-0.0004206378116576257,0.001015994468281101,0.05371648250318684,-0.009254287301722322,0.0037643199712935217,0.4082210578942363,0.005956709386784837,-0.005306337205652601,-0.005561716118382375,0.0030467672925336515,0.19485181444775895,-0.04379344432818838,0.0,0.0,0.16,0.0,0.0,0.0,-0.24206534,0.0048729368,0.15227345,0.021355323,0.22061579719508245,0.005102927516230302,0.15946037560799126,0.022363242288477008,-0.10220522555805399,0
33,0.17000000000000007,0,0.05,0.05,0,NONE,0,-0.0005174211352834878,0.0010492307655817353,0.05780146648545845,-0.009802035532289038,0.0031783009044611217,0.40829284224981566,-0.0005174211352834878,0.0010492307655817353,0.05780146648545845,-0.009802035532289038,0.0031783009044611217,0.40829284224981566,0.006470771250185444,-0.0037195111537750036,-0.005950175609800321,0.07286563872653078,0.14624111358678957,-0.038133952601575385,0.0,0.0,0.16,0.0,0.0,0.0,-0.25818714,-0.0057812007,0.1472234,0.022853334,0.2188444614681484,-0.006054059005658351,0.15417198629242754,0.023931955693173294,-0.09815029187053849,0
34,0.17500000000000007,0,0.05,0.05,0,NONE,0,-0.0006182709208244549,0.0010765919074761925,0.06185755664762286,-0.010166419547732454,0.0025853567565142415,0.4043543815599379,-0.0006182709208244549,0.0010765919074761925,0.06185755664762286,-0.010166419547732454,0.0025853567565142415,0.4043543815599379,0.00766956216013217,-0.0022130821764352587,-0.006273254805953558,0.12726140204439373,0.1617160860959747,-0.03278333777752806,0.0,0.0,0.16,0.0,0.0,0.0,-0.26467106,-0.021777732,0.14065856,0.024102382,0.21813206185301906,-0.02280558696287943,0.14729729927930532,0.025239955614801128,-0.09416793866240637,0
35,0.18000000000000008,0,0.05,0.05,0,NONE,0,-0.0007216541007444602,0.001097551751250322,0.06584121952300465,-0.010382660491826873,0.001926282756188188,0.39598180168686453,-0.0007216541007444602,0.001097551751250322,0.06584121952300465,-0.010382660491826873,0.001926282756188188,0.39598180168686453,0.00893363000349459,-4.5187562120148185e-05,-0.006535400251578618,0.12172939187221196,0.2252106036902084,-0.026359533110909775,0.0,0.0,0.16,0.0,0.0,0.0,-0.26032674,-0.039080217,0.12730595,0.025119307,0.2186093794145407,-0.04092470786598899,0.1333144792339177,0.026304875897930315,-0.09029605039672053,0
36,0.18500000000000008,0,0.05,0.05,0,NONE,0,-0.000825868991198958,0.001111284062774501,0.06971456179892542,-0.010418376768253844,0.001179921750663568,0.3844767249355029,-0.000825868991198958,0.001111284062774501,0.06971456179892542,-0.010418376768253844,0.001179921750663568,0.3844767249355029,0.009886138448287047,0.002259241030586773,-0.006742978122601199,0.08831432753210088,0.2355928400587634,-0.02206146466307375,0.0,0.0,0.16,0.0,0.0,0.0,-0.24809808,-0.055057548,0.11078413,0.025928292,0.21995296809164724,-0.05765613079144959,0.1160128650481717,0.02715204482732714,-0.08655594234312837,0
37,0.19000000000000009,0,0.05,0.05,0,NONE,0,-0.0009290108439703082,0.0011170255301603909,0.07345624825134484,-0.010263395233452023,0.00036776563833399714,0.37055486253250697,-0.0009290108439703082,0.0011170255301603909,0.07345624825134484,-0.010263395233452023,0.00036776563833399714,0.37055486253250697,0.010194768230754908,0.004576420725943797,-0.006890034405421704,0.007208463670779243,0.2286384311273222,-0.015613067493290342,0.0,0.0,0.16,0.0,0.0,0.0,-0.22960104,-0.066919,0.09190896,0.026506456,0.22198527371203772,-0.07007741178962977,0.0962468358857231,0.027757495044622715,-0.08296678686571773,0
38,0.1950000000000001,0,0.05,0.05,0,NONE,0,-0.0010291806896258178,0.0011143970724926354,0.07704707827677272,-0.009919456971741137,-0.00047298130070422197,0.35520244530572637,-0.0010291806896258178,0.0011143970724926354,0.07704707827677272,-0.009919456971741137,-0.00047298130070422197,0.35520244530572637,0.009519868204880093,0.006691206094739685,-0.006975498651279303,-0.09287683098474961,0.19826597391623368,-0.009886990001139713,0.0,0.0,0.16,0.0,0.0,0.0,-0.20710486,-0.0716323,0.072336495,0.026849557,0.22445697521629884,-0.07501317072673565,0.07575060055980226,0.02811679077468131,-0.07954704382558161,0
39,0.2000000000000001,0,0.05,0.05,0,NONE,0,-0.001124642186049713,0.0011037262394314302,0.08046856144527553,-0.009409392805505082,-0.0012574917374182986,0.3376519477524571,-0.001124642186049713,0.0011037262394314302,0.08046856144527553,-0.009409392805505082,-0.0012574917374182986,0.3376519477524571,0.008093199575464295,0.008501695823243366,-0.007029658389265743,-0.15171919871039977,0.18669910415321272,-0.006740011468248968,0.0,0.0,0.16,0.0,0.0,0.0,-0.17870294,-0.06997651,0.0531097,0.027073214,0.2275775515204475,-0.07327922783402302,0.05561635084201348,0.028351003872600235,-0.07631221273898811,0
40,0.2050000000000001,0,0.05,0.05,0,NONE,0,-0.0012139654774743563,0.0010860331060650466,0.08370516938392385,-0.008761789991916976,-0.0019291502990351256,0.3189049645526975,-0.0012139654774743563,0.0010860331060650466,0.08370516938392385,-0.008761789991916976,-0.0019291502990351256,0.3189049645526975,0.00622489190451667,0.010616008271954693,-0.007061271089142817,-0.1889190862396257,0.2216509752248629,-0.00377569453808543,0.0,0.0,0.16,0.0,0.0,0.0,-0.14671592,-0.06365369,0.029910969,0.027210824,0.2310920272646812,-0.06665799393881187,0.031322693829581305,0.028495107849831388,-0.07327270538736215,0
41,0.2100000000000001,0,0.05,0.05,0,NONE,0,-0.0012957073341834024,0.0010627119197344213,0.08674645629996369,-0.007964353799971137,-0.002453902996871823,0.299161425462793,-0.0012957073341834024,0.0010627119197344213,0.08674645629996369,-0.007964353799971137,-0.002453902996871823,0.299161425462793,0.004228692333773056,0.012951504956545373,-0.007069366102379137,-0.19753859004675894,0.2398148134972352,-0.001209390046708276,0.0,0.0,0.16,0.0,0.0,0.0,-0.11157534,-0.054651726,0.0032203835,0.027258622,0.2349529943023404,-0.05723115384958765,0.003372377762412086,0.028545161318032614,-0.07043167745135738,0
42,0.2150000000000001,0,0.05,0.05,0,NONE,0,-0.0013681591391116654,0.0010352974262213402,0.08958921963194484,-0.006990718219052113,-0.002824214042241808,0.2792506465172607,-0.0013681591391116654,0.0010352974262213402,0.08958921963194484,-0.006990718219052113,-0.002824214042241808,0.2792506465172607,0.0025865186179080493,0.015139467970357872,-0.007048655173212202,-0.15002495284337117,0.20634052749355555,0.0023417129896462514,0.0,0.0,0.16,0.0,0.0,0.0,-0.0752421,-0.04655302,-0.024463177,0.027196338,0.2389449993494669,-0.048750209569395,-0.025617777833284602,0.028479939239297907,-0.06779325128758376,0
43,0.2200000000000001,0,0.05,0.05,0,NONE,0,-0.0014295853349832706,0.0010052409916273346,0.09222927489546671,-0.005846198940716964,-0.0030565649544089064,0.25895508476198725,-0.0014295853349832706,0.0010052409916273346,0.09222927489546671,-0.005846198940716964,-0.0030565649544089064,0.25895508476198725,0.001711550216740396,0.016379607333487332,-0.006962535313081351,-0.06737894469144337,0.09598936926281677,0.01018149449298908,0.0,0.0,0.16,0.0,0.0,0.0,-0.037178818,-0.042698786,-0.046971336,0.026884006,0.24312708872939193,-0.044714064679852,-0.049188269477440726,0.028152866137057208,-0.06535467996559713,0
